Gene.ID	Gene.Name	AD	BD	AUT	SCH	ASD	Epi	ID	HTN	HD	PD	FTD	MS
26037	SIPA1L1	1	.	.	1	.	.	.	.	.	.	.	.
22883	CLSTN1	1	.	.	.	.	.	.	.	.	.	.	.
221981	THSD7A	.	.	.	.	.	1	.	.	.	.	.	.
23025	UNC13A	.	.	.	.	.	.	.	.	.	.	1	.
4645	MYO5B	.	.	.	1	.	.	.	.	.	.	.	.
1956	EGFR	1	1	.	1	.	1	.	1	1	.	.	.
815	CAMK2A	1	.	.	1	.	.	.	.	.	.	1	.
4035	LRP1	1	.	.	1	.	.	.	.	.	.	.	.
1600	DAB1	1	.	1	.	1	.	.	.	.	.	.	.
6457	SH3GL3	.	.	.	1	.	.	.	.	.	.	.	.
3178	HNRNPA1	1	.	.	.	.	.	.	.	.	.	1	1
1460	CSNK2B	.	.	.	.	.	.	.	.	.	1	.	.
1457	CSNK2A1	.	.	.	1	.	.	.	.	.	.	.	.
10989	IMMT	.	.	.	.	.	.	.	.	.	.	1	.
7916	PRRC2A	.	.	.	1	.	.	.	2	.	.	.	.
5859	QARS1	.	.	.	.	.	1	.	.	.	.	.	.
7919	DDX39B	1	.	.	.	.	.	.	.	.	.	.	.
1994	ELAVL1	1	.	.	.	.	.	.	.	.	.	.	.
5976	UPF1	.	.	.	.	.	1	.	.	.	.	.	.
142	PARP1	1	.	.	.	.	.	.	1	.	2	.	.
348	APOE	1	1	1	1	1	1	.	1	.	1	1	1
4684	NCAM1	1	1	1	1	1	1	.	.	.	.	.	1
1804	DPP6	.	.	.	.	.	.	2	.	.	.	.	1
1272	CNTN1	1	1	.	.	.	.	.	.	.	1	.	1
4099	MAG	.	.	.	1	.	.	.	.	.	.	.	.
4340	MOG	.	1	1	1	1	.	.	.	.	.	.	1
5621	PRNP	1	1	1	1	1	1	.	1	2	.	1	1
1191	CLU	1	.	.	1	.	.	.	1	.	1	.	.
3897	L1CAM	.	.	.	1	.	.	2	.	.	.	.	.
334	APLP2	1	.	.	.	.	.	.	.	.	.	.	.
3309	HSPA5	1	1	.	1	.	.	.	1	.	.	.	.
58512	DLGAP3	.	.	.	1	.	.	.	.	.	.	.	.
1739	DLG1	.	.	.	1	.	.	.	.	.	1	.	.
26994	RNF11	.	.	.	.	.	.	.	.	.	1	.	.
10228	STX6	.	.	.	.	.	.	.	.	.	2	.	.
5868	RAB5A	1	.	.	.	.	.	.	.	.	.	.	.
7334	UBE2N	.	.	.	1	.	.	.	.	.	.	.	.
7316	UBC	.	.	.	.	.	1	.	.	.	.	.	.
7431	VIM	1	.	.	1	.	.	.	.	.	.	.	.
9135	RABEP1	1	.	.	.	.	.	.	.	.	.	.	.
161	AP2A2	1	.	.	.	.	.	.	.	.	.	1	.
4130	MAP1A	.	.	.	1	.	.	.	.	.	.	.	.
4915	NTRK2	1	1	1	1	1	1	.	1	.	1	.	1
28964	GIT1	.	.	.	.	.	.	.	.	1	.	.	.
1400	CRMP1	.	.	.	1	.	1	.	.	.	.	.	.
3064	HTT	.	.	.	.	.	.	.	.	1	.	.	.
3837	KPNB1	.	.	.	.	.	.	.	.	.	.	.	2
4747	NEFL	1	.	.	1	.	.	.	.	.	1	.	1
5764	PTN	.	.	.	1	.	.	.	.	.	.	.	.
3306	HSPA2	.	.	.	.	.	.	.	.	.	.	.	1
4217	MAP3K5	.	.	.	.	.	.	.	.	2	1	.	.
1627	DBN1	2	.	.	.	.	.	.	.	.	.	.	.
2316	FLNA	.	.	.	.	.	.	1	.	.	.	.	.
2194	FASN	.	.	2	.	2	.	.	.	.	.	.	.
50807	ASAP1	.	.	.	.	.	.	.	.	.	.	.	1
9379	NRXN2	.	.	2	1	2	.	.	.	.	.	.	.
9369	NRXN3	.	.	2	2	2	.	.	.	.	.	.	.
4301	AFDN	.	.	.	.	.	.	.	.	.	2	.	.
3556	IL1RAP	1	.	.	.	.	.	.	.	.	.	.	.
10987	COPS5	.	.	.	.	.	.	.	1	.	.	.	.
10458	BAIAP2	.	.	1	.	1	.	.	.	.	.	.	.
1612	DAPK1	1	2	.	1	.	1	.	.	.	.	1	.
10469	TIMM44	.	.	.	1	.	.	.	.	.	.	.	.
369	ARAF	.	.	.	.	.	1	.	.	.	.	.	.
22800	RRAS2	1	.	.	.	.	1	.	.	.	.	.	.
9463	PICK1	.	.	.	1	.	.	.	.	.	.	.	.
9693	RAPGEF2	.	.	.	.	.	1	.	.	.	.	.	.
163	AP2B1	.	.	.	.	.	.	.	.	.	.	1	.
1173	AP2M1	.	.	.	1	.	.	.	.	.	.	.	.
4297	KMT2A	.	.	.	1	.	.	1	.	.	.	.	.
274	BIN1	1	.	.	.	.	.	.	.	.	.	.	.
6453	ITSN1	1	.	.	.	.	.	.	.	.	.	.	.
10188	TNK2	.	.	.	.	.	1	.	.	.	.	.	.
2903	GRIN2A	1	1	1	1	1	1	1	.	2	1	.	.
2904	GRIN2B	1	1	1	1	1	1	1	.	1	1	.	1
23327	NEDD4L	.	.	.	.	.	1	.	1	.	.	.	1
55729	ATF7IP	.	.	.	.	.	.	1	.	.	.	.	.
1009	CDH11	.	.	2	.	2	.	.	.	.	.	.	.
3915	LAMC1	1	.	.	.	.	.	.	.	.	.	.	.
23705	CADM1	2	1	1	1	1	.	.	.	.	.	.	.
23228	PLCL2	.	.	.	1	.	.	.	.	.	.	.	2
22871	NLGN1	.	.	1	.	1	.	.	.	.	.	.	.
6558	SLC12A2	1	.	.	1	.	.	.	1	.	.	.	.
9943	OXSR1	.	.	.	1	.	.	.	.	.	.	.	.
2905	GRIN2C	.	.	.	1	.	.	.	.	.	.	.	.
2906	GRIN2D	.	.	2	1	2	.	.	.	.	.	.	.
324	APC	.	.	1	1	1	.	.	.	1	1	.	.
1080	CFTR	1	.	.	.	.	.	.	1	.	.	.	.
11122	PTPRT	.	.	.	.	.	.	1	.	.	.	.	.
5792	PTPRF	.	.	.	1	.	.	.	1	.	.	.	.
5786	PTPRA	.	.	1	1	1	.	.	.	.	.	.	.
5789	PTPRD	.	.	.	.	.	1	.	.	.	.	.	.
5791	PTPRE	.	.	.	.	.	.	.	.	.	1	.	.
5803	PTPRZ1	.	.	.	1	.	.	.	.	.	.	.	.
3831	KLC1	1	.	.	1	.	.	.	1	.	.	.	1
6774	STAT3	.	.	.	.	.	.	.	1	.	.	.	1
3315	HSPB1	.	.	.	.	.	1	.	1	.	.	1	1
5305	PIP4K2A	.	.	.	1	.	.	.	.	.	.	.	.
9844	ELMO1	1	.	.	.	.	.	.	.	.	.	.	.
682	BSG	2	.	.	.	.	.	.	2	.	.	.	.
9588	PRDX6	1	.	.	1	.	.	.	.	.	.	.	.
5321	PLA2G4A	1	.	.	1	.	1	.	.	.	.	.	.
9821	RB1CC1	1	.	.	.	.	.	.	.	.	.	.	.
71	ACTG1	.	.	.	1	.	.	.	.	.	.	.	.
506	ATP5F1B	.	.	.	.	.	.	.	1	.	.	.	.
961	CD47	.	.	.	.	.	.	.	2	.	.	.	2
4580	MTX1	.	.	.	.	.	.	.	.	.	2	.	.
5142	PDE4B	.	.	.	2	.	.	.	.	.	.	.	.
527	ATP6V0C	.	.	.	.	.	2	2	.	.	.	.	.
6262	RYR2	.	.	2	.	2	.	.	.	.	.	.	.
998	CDC42	.	.	.	1	.	1	.	.	.	.	.	.
394	ARHGAP5	.	2	.	2	.	.	.	.	.	.	.	.
10163	WASF2	.	.	.	.	.	.	.	2	.	.	.	.
10142	AKAP9	1	.	.	.	.	.	.	.	.	.	.	.
55845	BRK1	2	.	.	.	.	.	.	.	.	.	.	.
9644	SH3PXD2A	.	2	2	1	2	.	.	2	.	.	.	.
1471	CST3	2	.	.	.	.	2	.	2	.	.	.	2
226	ALDOA	.	.	.	1	.	.	.	.	.	.	.	.
3704	ITPA	.	.	.	.	.	2	.	.	.	.	.	.
2534	FYN	1	1	.	1	.	.	.	.	.	.	.	.
5879	RAC1	1	.	1	.	1	1	.	1	.	.	.	.
5747	PTK2	1	.	1	.	1	.	.	.	.	.	.	.
2273	FHL1	.	.	.	.	.	.	2	1	.	.	.	.
3190	HNRNPK	.	.	.	1	.	.	.	.	.	.	.	.
1410	CRYAB	1	.	.	1	.	.	.	.	.	.	.	1
5687	PSMA6	.	.	.	.	.	.	.	1	.	.	.	.
5689	PSMB1	.	.	.	.	.	.	.	.	.	1	.	.
6311	ATXN2	.	.	.	1	.	.	.	.	.	1	2	1
2932	GSK3B	1	1	.	1	.	1	.	.	1	1	.	1
11316	COPE	.	.	.	.	.	2	.	.	.	.	.	.
1915	EEF1A1	.	.	.	.	.	.	1	.	.	.	1	.
5708	PSMD2	.	.	.	.	.	.	.	.	.	1	.	.
7917	BAG6	.	.	.	1	.	.	.	1	.	.	.	1
2597	GAPDH	1	.	.	1	.	.	.	.	1	.	.	1
10399	RACK1	1	2	.	1	.	1	.	.	.	.	.	.
4905	NSF	.	.	.	.	.	.	.	.	.	1	.	.
5515	PPP2CA	.	.	.	.	.	1	.	.	.	.	.	.
7276	TTR	1	.	.	.	.	.	.	1	.	1	.	1
1743	DLST	1	.	.	.	.	.	.	.	.	.	.	.
7277	TUBA4A	.	.	.	.	.	.	.	.	.	.	1	.
9001	HAP1	.	.	.	.	.	.	.	.	1	.	.	.
2026	ENO2	1	2	.	1	.	.	.	.	.	.	1	.
2950	GSTP1	1	.	.	1	.	1	.	1	.	2	.	2
3312	HSPA8	1	.	.	1	.	.	.	.	.	1	.	.
81631	MAP1LC3B	.	.	.	.	.	.	1	1	.	.	.	.
4715	NDUFB9	.	.	.	1	.	.	.	.	.	.	.	.
4831	NME2	1	.	.	.	.	.	.	.	.	.	.	.
8575	PRKRA	.	.	.	.	.	.	.	.	.	.	.	2
3921	RPSA	1	.	.	.	.	.	.	1	.	.	.	.
6421	SFPQ	1	.	.	.	.	.	.	.	.	.	2	.
10273	STUB1	1	.	.	1	.	.	.	.	.	.	.	.
213	ALB	.	.	.	2	.	2	.	.	2	.	.	.
217	ALDH2	1	1	.	1	.	1	.	2	.	.	.	.
3039	HBA1	.	.	.	.	.	.	.	1	.	.	.	.
546	ATRX	.	.	.	.	.	.	1	.	.	.	.	.
55512	SMPD3	2	.	.	1	.	.	.	.	.	.	.	.
2521	FUS	.	.	.	.	.	.	1	.	.	.	1	.
4043	LRPAP1	1	.	.	.	.	.	.	.	.	.	.	.
5216	PFN1	.	.	.	.	.	.	.	.	.	.	2	.
10397	NDRG1	.	2	.	1	.	.	.	.	.	.	.	.
5481	PPID	2	.	.	.	.	.	.	.	.	.	.	.
4841	NONO	.	.	.	1	.	.	.	.	.	.	.	.
3092	HIP1	.	.	.	.	.	2	.	.	1	.	1	.
6189	RPS3A	1	.	.	.	.	.	.	.	.	.	.	.
6279	S100A8	.	.	.	.	.	.	.	2	.	.	.	.
8878	SQSTM1	1	.	.	.	.	.	.	.	.	1	1	.
6853	SYN1	1	.	1	1	1	1	.	.	.	.	.	.
7314	UBB	1	.	.	.	.	.	.	.	.	.	.	.
396	ARHGDIA	.	.	.	1	.	.	.	1	.	.	.	.
25978	CHMP2B	2	.	.	.	.	.	.	.	.	2	1	.
25791	NGEF	.	2	2	2	2	.	.	.	.	.	.	.
826	CAPNS1	.	.	.	.	.	2	.	.	.	.	.	.
5955	RCN2	.	.	.	.	.	2	.	.	.	.	.	.
642	BLMH	1	.	.	.	.	.	.	.	.	.	.	.
4646	MYO6	.	.	.	.	.	.	.	1	.	.	.	.
1363	CPE	1	.	.	.	.	.	.	.	.	.	.	.
1523	CUX1	.	.	1	.	1	.	.	.	.	.	.	.
3703	STT3A	.	2	1	2	1	.	.	.	.	.	.	.
25874	MPC2	.	.	.	2	.	.	.	.	.	.	.	.
335	APOA1	1	.	.	1	.	.	.	1	.	1	.	1
3163	HMOX2	1	.	.	.	.	.	.	1	.	2	.	.
3757	KCNH2	2	.	.	1	.	2	.	2	.	.	.	.
2901	GRIK5	.	2	.	.	.	.	.	.	.	.	.	.
4190	MDH1	.	.	.	1	.	.	.	.	.	.	1	.
55968	NSFL1C	.	.	.	1	.	.	.	.	.	.	.	.
23435	TARDBP	1	.	.	.	.	.	2	.	.	2	2	.
23140	ZZEF1	.	2	.	2	.	.	.	.	.	.	.	.
4893	NRAS	.	.	1	.	1	.	.	.	.	.	.	.
6204	RPS10	.	.	.	2	.	.	.	.	.	.	.	.
5478	PPIA	.	.	.	1	.	.	.	.	.	.	.	.
112476	PRRT2	.	.	.	.	.	1	.	.	.	2	1	.
29888	STRN4	.	.	.	.	.	.	1	.	.	.	.	.
26960	NBEA	.	.	2	.	2	.	.	.	.	.	.	.
10949	HNRNPA0	.	.	.	1	.	.	.	.	.	.	.	.
58477	SRPRB	1	.	.	.	.	.	.	.	.	.	.	.
23136	EPB41L3	.	.	.	1	.	.	.	.	.	.	.	.
2873	GPS1	.	.	.	.	.	.	.	2	.	.	.	.
6092	ROBO2	.	.	.	1	.	.	.	.	.	.	.	.
6194	RPS6	1	.	.	.	.	.	.	.	.	.	.	.
55229	PANK4	.	.	.	1	.	.	.	.	.	.	.	.
23286	WWC1	1	.	.	1	.	.	.	.	.	.	.	.
5223	PGAM1	2	.	.	1	.	.	.	.	.	.	.	.
5867	RAB4A	1	.	.	.	.	.	.	.	.	.	.	.
4734	NEDD4	.	.	.	1	.	.	.	.	.	1	.	.
7317	UBA1	.	.	.	.	.	1	.	.	.	.	.	.
2170	FABP3	1	1	2	2	2	.	.	2	.	.	.	.
6195	RPS6KA1	.	.	.	.	.	.	2	.	.	.	.	.
10313	RTN3	1	.	.	.	.	.	.	.	.	1	.	.
2947	GSTM3	1	.	.	.	.	.	.	1	.	.	2	.
26060	APPL1	1	.	.	.	.	.	.	.	.	.	.	.
60	ACTB	.	.	.	1	.	.	.	.	.	1	.	.
3183	HNRNPC	.	2	.	1	.	.	.	.	.	.	.	.
5704	PSMC4	.	.	.	.	.	.	.	.	.	1	.	.
10919	EHMT2	.	.	.	.	.	.	.	.	.	.	.	2
5528	PPP2R5D	.	.	.	.	.	.	1	.	.	.	.	.
2670	GFAP	1	2	.	1	.	2	.	.	.	1	2	1
55198	APPL2	.	.	.	.	.	.	1	.	.	.	.	.
389	RHOC	.	.	.	.	.	.	.	2	.	.	.	.
4698	NDUFA5	.	.	2	.	2	.	.	.	.	.	.	.
57142	RTN4	1	1	.	1	.	1	.	.	.	.	.	2
1996	ELAVL4	1	.	.	.	.	.	.	.	.	2	.	.
140885	SIRPA	.	.	.	2	.	.	.	.	.	.	.	.
5932	RBBP8	.	.	.	.	.	.	1	.	.	.	.	.
27316	RBMX	.	.	.	.	.	.	1	.	.	.	.	.
1780	DYNC1I1	1	.	.	.	.	.	.	.	.	.	.	.
22978	NT5C2	.	2	2	2	2	.	2	.	.	.	.	.
5300	PIN1	1	.	.	.	.	.	.	1	.	1	1	.
5725	PTBP1	.	.	.	.	.	.	.	.	.	.	.	1
2752	GLUL	1	.	.	1	.	1	.	.	.	.	.	.
2580	GAK	.	.	.	.	.	.	.	.	.	1	.	.
8440	NCK2	1	.	.	.	.	.	.	.	.	.	.	.
5700	PSMC1	.	.	.	.	.	.	.	.	.	1	.	.
4830	NME1	1	.	.	.	.	.	.	.	.	.	.	.
216	ALDH1A1	.	1	.	1	.	.	.	.	.	3	.	.
6717	SRI	.	.	.	.	.	.	.	.	.	.	.	1
25758	KIAA1549L	.	1	.	.	.	.	.	.	.	.	.	.
50944	SHANK1	.	.	.	1	.	.	1	.	.	.	.	.
22941	SHANK2	.	.	1	.	1	.	1	.	.	.	.	.
2917	GRM7	.	1	1	1	1	.	.	.	.	.	.	.
6513	SLC2A1	2	.	.	2	.	2	.	.	.	.	.	.
87	ACTN1	.	.	.	.	.	.	.	.	.	.	.	1
23095	KIF1B	.	.	.	.	.	.	.	.	.	.	.	1
6531	SLC6A3	1	2	2	1	2	.	2	.	2	1	.	.
5566	PRKACA	1	.	.	.	.	.	.	.	1	.	1	.
6093	ROCK1	.	.	.	.	.	.	.	1	2	.	.	.
2893	GRIA4	1	.	.	1	.	.	.	.	.	.	.	.
6249	CLIP1	.	.	.	.	.	.	2	.	.	.	.	.
9699	RIMS2	.	.	.	1	.	.	.	.	.	.	.	.
22866	CNKSR2	.	.	.	1	.	.	2	.	.	.	.	.
57554	LRRC7	.	.	.	.	.	.	.	1	.	.	.	.
1386	ATF2	1	.	.	.	.	.	.	.	1	2	.	.
160622	GRASP	.	.	.	.	.	1	.	.	.	.	.	.
2697	GJA1	.	.	1	.	1	.	.	.	.	.	.	.
2894	GRID1	.	.	.	2	.	.	.	.	.	.	.	.
3066	HDAC2	1	.	.	1	.	2	.	.	.	.	.	.
2911	GRM1	1	2	.	1	.	1	.	.	.	.	.	.
2915	GRM5	1	1	1	1	1	1	1	.	.	1	.	.
2902	GRIN1	1	1	.	1	.	1	1	.	.	.	.	1
7415	VCP	1	.	.	.	.	.	.	.	.	.	1	.
58155	PTBP2	.	.	.	1	.	.	.	.	.	.	.	1
7337	UBE3A	.	.	1	.	1	.	.	.	1	.	.	.
1155	TBCB	.	.	.	1	.	.	.	.	.	.	.	.
23287	AGTPBP1	.	.	.	.	.	1	.	.	.	.	.	.
2023	ENO1	1	1	1	1	1	.	.	.	.	1	.	.
3836	KPNA1	.	.	.	2	.	.	.	.	2	.	.	.
10659	CELF2	1	.	.	.	.	.	.	.	.	.	.	.
5582	PRKCG	.	.	.	1	.	.	.	.	.	.	.	.
23072	HECW1	2	.	.	.	.	.	.	.	.	.	.	.
6285	S100B	1	1	.	2	.	2	.	1	.	2	.	.
7178	TPT1	.	.	.	.	.	.	.	1	.	.	.	.
6622	SNCA	1	.	.	1	.	.	.	.	.	1	.	1
10580	SORBS1	.	.	.	2	.	.	.	1	.	.	.	.
5527	PPP2R5C	.	.	2	.	2	.	1	.	.	.	.	.
9479	MAPK8IP1	1	.	.	.	.	.	.	.	.	.	.	.
1499	CTNNB1	1	1	1	1	1	.	1	1	.	.	1	.
81565	NDEL1	.	.	.	1	.	.	.	.	.	.	.	.
5160	PDHA1	.	.	.	.	.	.	.	1	.	.	.	.
55770	EXOC2	.	.	.	1	.	.	.	.	.	.	.	.
23365	ARHGEF12	.	.	.	.	.	1	.	.	.	.	.	.
1020	CDK5	1	.	.	1	.	.	.	.	1	.	.	.
476	ATP1A1	.	.	1	.	1	.	.	1	.	.	.	.
23043	TNIK	.	.	.	1	.	.	.	.	.	.	.	.
55763	EXOC1	1	.	.	.	.	.	.	.	.	.	.	.
55704	CCDC88A	.	.	.	.	.	2	.	.	.	.	.	.
8536	CAMK1	1	.	.	.	.	1	.	.	.	.	.	.
6714	SRC	1	.	1	.	1	.	.	.	.	.	.	.
11315	PARK7	.	.	.	.	.	.	.	1	1	1	.	1
5605	MAP2K2	1	.	.	.	.	.	.	.	.	.	.	.
9131	AIFM1	1	.	.	.	.	.	.	.	.	.	.	.
5037	PEBP1	1	.	.	1	.	.	.	1	.	.	.	.
4137	MAPT	1	.	.	1	.	1	.	.	1	1	1	1
6709	SPTAN1	.	.	.	1	.	1	1	.	.	.	.	.
1509	CTSD	1	.	1	.	1	1	.	1	.	.	.	1
10048	RANBP9	1	.	.	1	.	.	.	.	.	.	.	.
6857	SYT1	.	.	.	.	.	1	.	.	.	.	1	.
1454	CSNK1E	.	1	.	1	.	.	.	.	.	.	.	.
1965	EIF2S1	1	.	.	.	.	1	.	.	.	.	.	.
5590	PRKCZ	.	1	.	1	.	1	.	.	.	.	.	.
4155	MBP	1	.	.	1	.	.	.	.	.	.	.	1
85358	SHANK3	.	.	1	1	1	.	1	.	.	.	.	.
1968	EIF2S3	.	.	.	.	.	.	2	.	.	.	.	.
5530	PPP3CA	1	.	.	1	.	.	.	.	.	.	1	.
2596	GAP43	.	.	.	1	.	.	.	.	.	.	.	.
5518	PPP2R1A	.	.	.	.	.	.	1	.	.	.	.	.
7248	TSC1	.	.	1	.	1	1	1	.	.	.	.	.
59	ACTA2	.	.	.	.	.	.	.	2	.	.	.	.
5580	PRKCD	.	.	.	.	.	.	.	.	2	1	.	.
7001	PRDX2	1	.	.	1	.	.	.	.	.	1	1	.
5052	PRDX1	1	.	.	1	.	.	.	.	.	.	.	.
10059	DNM1L	1	.	.	.	.	.	.	2	1	1	.	.
23242	COBL	.	.	.	2	.	.	.	.	.	.	.	.
5594	MAPK1	1	.	.	.	.	.	.	1	.	.	.	1
5588	PRKCQ	.	1	.	1	.	.	.	.	.	.	.	.
1795	DOCK3	1	.	.	.	.	.	.	.	.	.	.	.
6137	RPL13	.	.	.	1	.	.	.	.	.	.	.	.
610	HCN2	.	.	.	.	.	1	.	.	.	.	.	.
23113	CUL9	.	.	.	.	.	.	.	.	.	2	.	.
22999	RIMS1	.	.	.	1	.	.	.	.	.	.	.	.
23114	NFASC	.	.	.	.	.	2	.	.	.	.	.	2
10021	HCN4	.	.	.	.	.	2	.	.	.	.	.	.
2550	GABBR1	1	.	1	1	1	1	.	.	.	.	.	.
2571	GAD1	1	1	2	1	2	2	.	.	.	2	.	2
287	ANK2	.	.	.	1	.	.	.	.	.	.	.	.
801	CALM1	1	.	.	1	.	.	.	.	.	.	.	.
8454	CUL1	.	.	.	.	.	.	.	1	.	.	.	.
5692	PSMB4	.	.	.	.	.	.	.	.	.	1	.	.
2242	FES	.	.	.	1	.	.	.	1	.	.	.	.
2664	GDI1	.	.	.	2	.	.	3	.	.	.	.	.
5870	RAB6A	1	.	.	.	.	.	.	.	.	.	.	.
5599	MAPK8	1	.	.	.	.	.	.	1	1	.	.	.
10963	STIP1	.	.	.	.	.	.	.	.	.	.	1	.
5908	RAP1B	.	2	.	.	.	.	.	.	.	.	.	.
9378	NRXN1	.	.	1	1	1	1	1	.	.	.	.	.
9475	ROCK2	.	.	.	.	.	.	.	1	.	.	.	.
6597	SMARCA4	.	.	.	.	.	.	1	1	.	.	.	.
3181	HNRNPA2B1	1	.	.	1	.	.	.	.	.	.	1	.
3636	INPPL1	.	.	.	.	.	.	.	1	.	.	.	.
23077	MYCBP2	.	.	.	.	.	.	.	1	.	.	.	.
575	ADGRB1	.	1	.	1	.	.	.	.	.	.	.	.
3476	IGBP1	.	.	.	.	.	.	1	.	.	.	.	.
8851	CDK5R1	1	.	.	1	.	.	2	2	1	1	.	.
5864	RAB3A	.	.	1	.	1	.	2	.	.	.	.	1
6812	STXBP1	1	.	.	1	.	1	1	.	.	.	1	.
6280	S100A9	1	.	.	.	.	.	.	.	.	.	.	.
10211	FLOT1	1	.	.	.	.	.	.	.	.	.	.	.
2931	GSK3A	1	.	.	.	.	.	.	.	.	.	.	.
2	A2M	1	.	.	.	.	.	.	.	.	.	.	1
2271	FH	.	.	.	.	.	.	.	1	.	.	.	.
